attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,0,random_victim_start,20000,20000,20030,20030,24205,24315,110,4175,4285,module_3,module_4,42,0,110,20140,4175,4175,True
1,1,random_victim_start,20000,20420,20450,20450,24315,24425,110,3865,3975,module_3,module_4,43,0,110,20560,3865,3865,True
2,2,random_victim_start,20000,20840,20870,20870,24425,24535,110,3555,3665,module_3,module_4,44,0,110,20980,3555,3555,True
3,3,random_victim_start,20000,21260,21290,21290,24535,24645,110,3245,3355,module_3,module_4,45,0,110,21400,3245,3245,True
4,4,random_victim_start,20000,21680,21710,21710,24645,24755,110,2935,3045,module_3,module_4,46,0,110,21820,2935,2935,True
5,5,random_victim_start,20000,22100,22130,22130,24755,24865,110,2625,2735,module_3,module_4,47,0,110,22240,2625,2625,True
6,6,random_victim_start,20000,22520,22550,22550,24865,24975,110,2315,2425,module_3,module_4,48,0,110,22660,2315,2315,True
7,7,random_victim_start,20000,22940,22970,22970,24975,25085,110,2005,2115,module_3,module_4,49,0,110,23080,2005,2005,True
8,8,random_victim_start,20000,23360,23390,23390,25085,25195,110,1695,1805,module_3,module_4,50,0,110,23500,1695,1695,True
9,9,random_victim_start,20000,23780,23810,23810,25195,25305,110,1385,1495,module_3,module_4,51,0,110,23920,1385,1385,True
10,10,random_victim_start,20000,24200,24230,24230,25305,25415,110,1075,1185,module_3,module_4,52,0,110,24340,1075,1075,True
11,11,random_victim_start,20000,24620,24650,24650,25415,25525,110,765,875,module_3,module_4,53,0,110,24760,765,765,True
12,12,random_victim_start,20000,25040,25070,25070,25525,25635,110,455,565,module_3,module_4,54,0,110,25180,455,455,True
13,13,random_victim_start,20000,25460,25490,25490,25635,25745,110,145,255,module_3,module_4,55,0,110,25600,145,145,True
14,14,random_victim_start,20000,25880,25910,25910,25910,26020,110,0,110,module_3,module_4,56,0,110,26020,0,0,False
15,15,random_victim_start,20000,26300,26330,26330,26330,26440,110,0,110,module_3,module_4,57,0,110,26440,0,0,False
16,16,random_victim_start,20000,26720,26750,26750,26750,26860,110,0,110,module_3,module_4,58,0,110,26860,0,0,False
17,17,random_victim_start,20000,27140,27170,27170,27170,27280,110,0,110,module_3,module_4,59,0,110,27280,0,0,False
18,18,random_victim_start,20000,27560,27590,27590,27590,27700,110,0,110,module_3,module_4,60,0,110,27700,0,0,False
19,19,random_victim_start,20000,27980,28010,28010,28010,28120,110,0,110,module_3,module_4,61,0,110,28120,0,0,False
20,20,random_victim_start,20000,28400,28430,28430,28430,28540,110,0,110,module_3,module_4,62,0,110,28540,0,0,False
21,21,random_victim_start,20000,28820,28850,28850,28850,28960,110,0,110,module_3,module_4,63,0,110,28960,0,0,False
22,22,random_victim_start,20000,29240,29270,29270,29270,29380,110,0,110,module_3,module_4,64,0,110,29380,0,0,False
23,23,random_victim_start,20000,29660,29690,29690,29690,29800,110,0,110,module_3,module_4,65,0,110,29800,0,0,False
24,24,random_victim_start,20000,30080,30110,30110,30110,30220,110,0,110,module_3,module_4,66,0,110,30220,0,0,False
25,25,random_victim_start,20000,30500,30530,30530,30530,30640,110,0,110,module_3,module_4,67,0,110,30640,0,0,False
26,26,random_victim_start,20000,30920,30950,30950,30950,31060,110,0,110,module_3,module_4,68,0,110,31060,0,0,False
27,27,random_victim_start,20000,31340,31370,31370,31370,31480,110,0,110,module_3,module_4,69,0,110,31480,0,0,False
28,28,random_victim_start,20000,31760,31790,31790,31790,31900,110,0,110,module_3,module_4,70,0,110,31900,0,0,False
29,29,random_victim_start,20000,32180,32210,32210,32210,32320,110,0,110,module_3,module_4,71,0,110,32320,0,0,False
30,30,random_victim_start,20000,32600,32630,32630,32630,32740,110,0,110,module_3,module_4,72,0,110,32740,0,0,False
31,31,random_victim_start,20000,33020,33050,33050,33050,33160,110,0,110,module_3,module_4,73,0,110,33160,0,0,False
32,32,random_victim_start,20000,33440,33470,33470,33470,33580,110,0,110,module_3,module_4,74,0,110,33580,0,0,False
33,33,random_victim_start,20000,33860,33890,33890,33890,34000,110,0,110,module_3,module_4,75,0,110,34000,0,0,False
34,34,random_victim_start,20000,34280,34310,34310,34310,34420,110,0,110,module_3,module_4,76,0,110,34420,0,0,False
35,35,random_victim_start,20000,34700,34730,34730,34730,34840,110,0,110,module_3,module_4,77,0,110,34840,0,0,False
36,36,random_victim_start,20000,35120,35150,35150,35150,35260,110,0,110,module_3,module_4,78,0,110,35260,0,0,False
37,37,random_victim_start,20000,35540,35570,35570,35570,35680,110,0,110,module_3,module_4,79,0,110,35680,0,0,False
38,38,random_victim_start,20000,35960,35990,35990,35990,36100,110,0,110,module_3,module_4,80,0,110,36100,0,0,False
39,39,random_victim_start,20000,36380,36410,36410,36410,36520,110,0,110,module_3,module_4,81,0,110,36520,0,0,False
40,40,random_victim_start,20000,36800,36830,36830,36830,36940,110,0,110,module_3,module_4,82,0,110,36940,0,0,False
41,41,random_victim_start,20000,37220,37250,37250,37250,37360,110,0,110,module_3,module_4,83,0,110,37360,0,0,False
42,42,random_victim_start,20000,37640,37670,37670,37670,37780,110,0,110,module_3,module_4,84,0,110,37780,0,0,False
43,43,random_victim_start,20000,38060,38090,38090,38090,38200,110,0,110,module_3,module_4,85,0,110,38200,0,0,False
44,44,random_victim_start,20000,38480,38510,38510,38510,38620,110,0,110,module_3,module_4,86,0,110,38620,0,0,False
45,45,random_victim_start,20000,38900,38930,38930,38930,39040,110,0,110,module_3,module_4,87,0,110,39040,0,0,False
46,46,random_victim_start,20000,39320,39350,39350,39350,39460,110,0,110,module_3,module_4,88,0,110,39460,0,0,False
47,47,random_victim_start,20000,39740,39770,39770,39770,39880,110,0,110,module_3,module_4,89,0,110,39880,0,0,False
